               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.022757,           0.0080991,                   0,             0.94907,              0.9081,             0.97394,              0.6922,            0.021838,           0.0067919,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.022805,           0.0081216,                   0,             0.94258,             0.91422,             0.97408,             0.69268,            0.021826,           0.0067898,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.022746,           0.0081331,                   0,             0.94322,             0.91362,             0.97403,             0.69327,            0.021806,           0.0067866,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.022449,           0.0080618,                   0,             0.94136,              0.9164,             0.97412,             0.69409,            0.021787,           0.0067823,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.022461,            0.008046,                   0,             0.94199,             0.91565,             0.97389,             0.69489,            0.021764,           0.0067799,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.022624,           0.0080389,                   0,             0.94297,               0.915,             0.97402,              0.6945,            0.021755,             0.00678,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.022476,           0.0081063,                   0,             0.94362,             0.91456,             0.97403,             0.69443,            0.021747,           0.0067789,                   0,            0.007195,            0.007195,            0.007195
                  87,             0.02238,           0.0079695,                   0,             0.94247,             0.91577,             0.97427,             0.69498,            0.021738,           0.0067774,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.02241,           0.0079582,                   0,             0.94143,             0.91577,             0.97405,             0.69513,            0.021726,           0.0067736,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.022294,           0.0080197,                   0,             0.94618,             0.91167,             0.97407,             0.69502,            0.021718,           0.0067711,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.022141,           0.0079978,                   0,             0.94678,             0.91124,             0.97421,             0.69535,            0.021721,           0.0067696,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.021977,            0.007953,                   0,              0.9455,             0.91181,             0.97427,             0.69562,            0.021714,           0.0067678,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.022292,           0.0080199,                   0,             0.93787,              0.9189,             0.97442,             0.69541,            0.021714,           0.0067667,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.022309,           0.0080159,                   0,             0.94745,             0.91055,             0.97404,             0.69519,            0.021708,            0.006765,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.022239,            0.008067,                   0,             0.94781,              0.9102,             0.97407,             0.69473,            0.021696,           0.0067617,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.022127,           0.0079311,                   0,             0.94328,             0.91463,             0.97437,             0.69516,            0.021691,           0.0067613,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.022037,           0.0078501,                   0,             0.94283,             0.91577,             0.97428,             0.69496,            0.021672,           0.0067594,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.021927,           0.0078886,                   0,             0.94101,              0.9182,             0.97432,             0.69496,             0.02167,           0.0067567,                   0,            0.006832,            0.006832,            0.006832
                  98,             0.02182,           0.0078634,                   0,             0.94023,             0.91991,             0.97428,             0.69446,            0.021667,           0.0067556,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.021932,           0.0078827,                   0,             0.93992,              0.9196,             0.97423,             0.69432,            0.021654,           0.0067537,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.021784,           0.0078944,                   0,             0.94115,             0.91847,             0.97454,             0.69482,            0.021656,           0.0067526,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.021871,           0.0079169,                   0,             0.94717,             0.91263,              0.9746,             0.69469,             0.02165,            0.006751,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.02177,           0.0078952,                   0,             0.94176,             0.91748,             0.97467,             0.69492,            0.021638,           0.0067485,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.021776,           0.0078612,                   0,              0.9421,             0.91746,             0.97468,             0.69495,            0.021637,           0.0067461,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.021557,           0.0078203,                   0,             0.94307,             0.91675,             0.97472,             0.69497,            0.021627,           0.0067437,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.021572,           0.0077995,                   0,             0.94277,              0.9174,             0.97489,             0.69439,            0.021622,           0.0067413,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.021527,           0.0077703,                   0,             0.93959,             0.92028,             0.97496,             0.69452,            0.021618,           0.0067393,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.021561,           0.0078596,                   0,             0.94062,             0.91994,             0.97505,             0.69455,            0.021611,           0.0067356,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.021579,           0.0077855,                   0,             0.94015,             0.91994,             0.97485,              0.6941,              0.0216,           0.0067342,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.021484,           0.0077949,                   0,              0.9399,             0.91994,             0.97492,             0.69464,            0.021585,           0.0067312,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.021433,             0.00785,                   0,             0.94021,              0.9189,             0.97492,             0.69469,            0.021568,           0.0067275,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.02165,           0.0078762,                   0,             0.94345,             0.91542,             0.97493,             0.69431,            0.021554,           0.0067249,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.021655,           0.0079187,                   0,             0.94321,             0.91577,             0.97526,             0.69425,            0.021548,           0.0067216,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.021482,           0.0077388,                   0,             0.94415,             0.91542,             0.97549,             0.69394,            0.021544,           0.0067212,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.021259,           0.0077107,                   0,             0.94499,             0.91492,             0.97543,             0.69413,            0.021536,           0.0067169,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.021444,           0.0077866,                   0,             0.94368,             0.91565,             0.97538,             0.69455,            0.021523,           0.0067142,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.021204,           0.0076983,                   0,             0.94301,             0.91568,             0.97555,             0.69434,            0.021524,           0.0067127,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.02121,           0.0076971,                   0,             0.94046,             0.91815,             0.97582,              0.6944,            0.021532,           0.0067119,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.020998,           0.0076265,                   0,              0.9414,             0.91709,             0.97591,             0.69447,            0.021535,           0.0067117,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.02118,           0.0077509,                   0,             0.94046,             0.91816,             0.97598,             0.69467,            0.021522,           0.0067091,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.020963,           0.0075792,                   0,             0.95087,             0.90741,             0.97571,             0.69453,            0.021517,            0.006708,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.02118,            0.007622,                   0,              0.9508,             0.90808,             0.97597,             0.69465,            0.021517,           0.0067063,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.021003,           0.0076975,                   0,             0.95013,             0.90842,             0.97581,             0.69441,            0.021505,           0.0067024,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.021051,            0.007672,                   0,              0.9382,              0.9196,              0.9757,             0.69475,            0.021506,           0.0066994,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.021053,           0.0076656,                   0,             0.93763,             0.92134,             0.97591,             0.69448,            0.021502,           0.0066975,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.020731,           0.0076239,                   0,             0.93671,             0.92238,             0.97591,             0.69432,            0.021499,           0.0066956,                   0,            0.005908,            0.005908,            0.005908
